pixelx,pixely,pixelz,robotx,roboty,robotz
         337,          75,         563,           0.463786,          -0.019700,           0.034909
         337,          53,         562,           0.443780,          -0.019729,           0.034926
         337,          31,         561,           0.423771,          -0.019712,           0.034922
         315,          31,         562,           0.423788,          -0.039648,           0.035006
         315,          53,         564,           0.443806,          -0.039636,           0.035042
         315,          75,         564,           0.463835,          -0.039625,           0.035055
         315,          97,         564,           0.483772,          -0.039655,           0.034994
         316,         119,         564,           0.503805,          -0.039624,           0.034989
         316,         141,         561,           0.523837,          -0.039618,           0.035054
         316,         163,         560,           0.543806,          -0.039609,           0.035008
         317,         185,         560,           0.563781,          -0.039626,           0.035031
         317,         207,         559,           0.583815,          -0.039636,           0.035028
         317,         229,         557,           0.603844,          -0.039602,           0.035053
         317,         250,         557,           0.623813,          -0.039654,           0.034998
         318,         272,         559,           0.643787,          -0.039625,           0.035007
         318,         295,         556,           0.663830,          -0.039579,           0.034997
         318,         317,         556,           0.683819,          -0.039634,           0.035024
         319,         339,         556,           0.703825,          -0.039596,           0.035069
         319,         362,         553,           0.723821,          -0.039618,           0.035051
         297,         362,         555,           0.723769,          -0.059738,           0.034895
         296,         340,         556,           0.703770,          -0.059728,           0.034902
         296,         317,         556,           0.683767,          -0.059745,           0.034879
         296,         295,         558,           0.663772,          -0.059756,           0.034912
         295,         273,         559,           0.643749,          -0.059734,           0.034871
         295,         251,         559,           0.623775,          -0.059722,           0.034891
         295,         229,         560,           0.603769,          -0.059734,           0.034897
         295,         207,         559,           0.583745,          -0.059738,           0.034872
         295,         185,         563,           0.563779,          -0.059699,           0.034921
         294,         163,         562,           0.543752,          -0.059714,           0.034906
         294,         141,         562,           0.523770,          -0.059735,           0.034918
         294,         119,         562,           0.503789,          -0.059722,           0.034898
         293,          98,         562,           0.483774,          -0.059720,           0.034882
         293,          76,         564,           0.463748,          -0.059726,           0.034881
         293,          54,         561,           0.443788,          -0.059690,           0.034920
         292,          31,         564,           0.423800,          -0.059680,           0.034956
         270,          32,         566,           0.423832,          -0.079630,           0.035033
         271,          54,         562,           0.443810,          -0.079618,           0.035036
         271,          76,         562,           0.463778,          -0.079664,           0.035021
         271,          98,         562,           0.483786,          -0.079655,           0.034998
         272,         120,         564,           0.503823,          -0.079619,           0.035032
         272,         141,         563,           0.523815,          -0.079637,           0.035011
         272,         163,         562,           0.543838,          -0.079648,           0.035084
         272,         185,         562,           0.563801,          -0.079646,           0.035042
         273,         207,         563,           0.583815,          -0.079609,           0.035027
         273,         229,         560,           0.603789,          -0.079668,           0.034996
         273,         251,         561,           0.623782,          -0.079662,           0.034979
