a,b,c,d,e,f
         168.000000,         252.000000,         395.000000,           0.622609,          -0.134495,           0.197351
         168.000000,         284.000000,         395.000000,           0.642613,          -0.134530,           0.197436
         168.000000,         315.000000,         393.000000,           0.662598,          -0.134593,           0.197505
         168.000000,         347.000000,         394.000000,           0.682622,          -0.134612,           0.197510
         168.000000,         379.000000,         394.000000,           0.702652,          -0.134647,           0.197571
         168.000000,         410.000000,         393.000000,           0.722657,          -0.134704,           0.197636
         168.000000,         442.000000,         392.000000,           0.742672,          -0.134729,           0.197619
         137.000000,         284.000000,         395.000000,           0.642674,          -0.154477,           0.197352
         137.000000,         253.000000,         396.000000,           0.622690,          -0.154452,           0.197344
         136.000000,         222.000000,         397.000000,           0.602663,          -0.154430,           0.197206
         137.000000,         190.000000,         398.000000,           0.582651,          -0.154400,           0.197154
         136.000000,         160.000000,         399.000000,           0.562672,          -0.154365,           0.197124
         136.000000,         129.000000,         401.000000,           0.542686,          -0.154335,           0.197071
         136.000000,          98.000000,         401.000000,           0.522700,          -0.154303,           0.197020
         135.000000,          67.000000,         403.000000,           0.502714,          -0.154254,           0.196992
         135.000000,          36.000000,         401.000000,           0.482740,          -0.154230,           0.196988
         143.000000,         432.000000,         416.000000,           0.742673,          -0.157021,           0.174878
         143.000000,         402.000000,         416.000000,           0.722648,          -0.157021,           0.174888
         143.000000,         372.000000,         418.000000,           0.702625,          -0.157008,           0.174736
         143.000000,         342.000000,         418.000000,           0.682621,          -0.156965,           0.174618
         143.000000,         312.000000,         418.000000,           0.662615,          -0.156930,           0.174546
         143.000000,         282.000000,         418.000000,           0.642618,          -0.156918,           0.174489
         144.000000,         252.000000,         420.000000,           0.622626,          -0.156897,           0.174405
         144.000000,         223.000000,         419.000000,           0.602630,          -0.156839,           0.174309
         143.000000,         193.000000,         420.000000,           0.582646,          -0.156789,           0.174261
         143.000000,         166.000000,         422.000000,           0.562655,          -0.156775,           0.174232
         143.000000,         136.000000,         421.000000,           0.542672,          -0.156740,           0.174175
         143.000000,         106.000000,         424.000000,           0.522669,          -0.156713,           0.174117
         142.000000,          77.000000,         425.000000,           0.502675,          -0.156679,           0.174056
         142.000000,          48.000000,         425.000000,           0.482692,          -0.156653,           0.174054
         171.000000,          47.000000,         425.000000,           0.482803,          -0.136693,           0.174145
         171.000000,          77.000000,         424.000000,           0.502806,          -0.136731,           0.174198
         172.000000,         106.000000,         422.000000,           0.522810,          -0.136757,           0.174264
         172.000000,         135.000000,         422.000000,           0.542812,          -0.136794,           0.174244
         172.000000,         164.000000,         420.000000,           0.562814,          -0.136844,           0.174249
         172.000000,         194.000000,         420.000000,           0.582822,          -0.136884,           0.174382
         173.000000,         223.000000,         419.000000,           0.602816,          -0.136920,           0.174335
         173.000000,         252.000000,         418.000000,           0.622825,          -0.136954,           0.174363
         173.000000,         282.000000,         418.000000,           0.642811,          -0.136987,           0.174425
         173.000000,         312.000000,         417.000000,           0.662819,          -0.137031,           0.174484
         173.000000,         342.000000,         416.000000,           0.682832,          -0.137048,           0.174535
         173.000000,         372.000000,         417.000000,           0.702836,          -0.137071,           0.174539
         173.000000,         402.000000,         416.000000,           0.722844,          -0.137100,           0.174524
         173.000000,         432.000000,         416.000000,           0.742832,          -0.137133,           0.174493
         203.000000,         431.000000,         414.000000,           0.742870,          -0.117236,           0.174382
         202.000000,         401.000000,         415.000000,           0.722854,          -0.117227,           0.174288
         202.000000,         371.000000,         415.000000,           0.702842,          -0.117236,           0.174174
         203.000000,         341.000000,         416.000000,           0.682849,          -0.117238,           0.174112
         202.000000,         311.000000,         416.000000,           0.662834,          -0.117253,           0.174037
         202.000000,         282.000000,         417.000000,           0.642806,          -0.117287,           0.173960
         202.000000,         252.000000,         419.000000,           0.622779,          -0.117297,           0.173840
         202.000000,         223.000000,         419.000000,           0.602744,          -0.117284,           0.173720
         201.000000,         193.000000,         420.000000,           0.582762,          -0.117269,           0.173674
         201.000000,         164.000000,         420.000000,           0.562736,          -0.117287,           0.173588
         201.000000,         136.000000,         422.000000,           0.542712,          -0.117297,           0.173538
         200.000000,         106.000000,         422.000000,           0.522702,          -0.117299,           0.173478
         200.000000,          77.000000,         425.000000,           0.502731,          -0.117296,           0.173467
         200.000000,          47.000000,         423.000000,           0.482752,          -0.117289,           0.173494
         229.000000,          47.000000,         425.000000,           0.482811,          -0.097260,           0.173459
         230.000000,          76.000000,         422.000000,           0.502810,          -0.097253,           0.173468
         230.000000,         106.000000,         421.000000,           0.522858,          -0.097223,           0.173507
         230.000000,         135.000000,         422.000000,           0.542887,          -0.097196,           0.173515
         231.000000,         164.000000,         421.000000,           0.562921,          -0.097209,           0.173602
         231.000000,         193.000000,         421.000000,           0.582960,          -0.097182,           0.173632
         231.000000,         223.000000,         421.000000,           0.602975,          -0.097183,           0.173659
         232.000000,         252.000000,         419.000000,           0.622980,          -0.097184,           0.173736
         232.000000,         281.000000,         418.000000,           0.643006,          -0.097156,           0.173705
         232.000000,         311.000000,         417.000000,           0.663031,          -0.097160,           0.173780
         232.000000,         341.000000,         416.000000,           0.683054,          -0.097161,           0.173827
         232.000000,         371.000000,         416.000000,           0.703077,          -0.097170,           0.173845
         233.000000,         401.000000,         414.000000,           0.723088,          -0.097187,           0.173795
         233.000000,         431.000000,         416.000000,           0.743078,          -0.097208,           0.173799
         263.000000,         431.000000,         414.000000,           0.743140,          -0.077258,           0.173761
         262.000000,         400.000000,         414.000000,           0.723122,          -0.077320,           0.173692
         262.000000,         370.000000,         416.000000,           0.703100,          -0.077353,           0.173640
         262.000000,         340.000000,         416.000000,           0.683075,          -0.077406,           0.173535
         262.000000,         311.000000,         419.000000,           0.663049,          -0.077452,           0.173408
         261.000000,         281.000000,         419.000000,           0.643026,          -0.077497,           0.173349
         261.000000,         252.000000,         420.000000,           0.623027,          -0.077543,           0.173308
         260.000000,         222.000000,         420.000000,           0.603022,          -0.077584,           0.173270
         260.000000,         193.000000,         421.000000,           0.582983,          -0.077625,           0.173220
         260.000000,         164.000000,         422.000000,           0.562967,          -0.077660,           0.173154
         259.000000,         135.000000,         421.000000,           0.542945,          -0.077713,           0.173110
         259.000000,         106.000000,         422.000000,           0.522929,          -0.077779,           0.173056
         258.000000,          77.000000,         422.000000,           0.502941,          -0.077801,           0.173007
         258.000000,          47.000000,         424.000000,           0.482938,          -0.077840,           0.172933
         287.000000,          47.000000,         424.000000,           0.483058,          -0.057765,           0.172980
         288.000000,          76.000000,         423.000000,           0.503048,          -0.057745,           0.172953
         288.000000,         106.000000,         422.000000,           0.523077,          -0.057701,           0.173029
         289.000000,         135.000000,         423.000000,           0.543103,          -0.057665,           0.173061
         289.000000,         164.000000,         421.000000,           0.563133,          -0.057598,           0.173079
         290.000000,         193.000000,         422.000000,           0.583148,          -0.057551,           0.173121
         290.000000,         222.000000,         420.000000,           0.603166,          -0.057506,           0.173126
         290.000000,         251.000000,         419.000000,           0.623172,          -0.057484,           0.173146
         291.000000,         281.000000,         420.000000,           0.643210,          -0.057414,           0.173222
         291.000000,         311.000000,         419.000000,           0.663244,          -0.057382,           0.173215
         292.000000,         340.000000,         417.000000,           0.683271,          -0.057327,           0.173263
         292.000000,         370.000000,         416.000000,           0.703291,          -0.057266,           0.173265
         292.000000,         400.000000,         415.000000,           0.723306,          -0.057229,           0.173301
